Name	Days	Nights	Miles	Vertical	Partners	Solo?	Summit	Date
Snowfield	3	2	15.24	9403	Dan,Margaret	FALSE		
							Snowfield Peak	07-26-2016
Windy	1	1	14.44	4289		TRUE		
							Windy Peak	08-12-2019
Snagtooth	1	1	6.32	4530	Dan	FALSE		
							Big Snagtooth	07-01-2017
Formidable	2	1	19.4	11042	Dan,Adam,Addison	FALSE		
							Mt. Formidable	08-06-2017
Abernathy Ski	1	1	10.12	5698	Dan	FALSE		
							Abernathy Peak	05-19-2019
